t,KE,vx
1.333333,1.31613083e+01,5.13055706e+00
1.337500,1.31065254e+01,5.11986828e+00
1.341667,1.30519724e+01,5.10920191e+00
1.345833,1.29976444e+01,5.09855747e+00
1.350000,1.29435434e+01,5.08793545e+00
1.354167,1.28896675e+01,5.07733536e+00
1.358333,1.28360147e+01,5.06675720e+00
1.362500,1.27825871e+01,5.05620146e+00
1.366667,1.27293806e+01,5.04566765e+00
1.370833,1.26763964e+01,5.03515577e+00
1.375000,1.26236334e+01,5.02466583e+00
1.379167,1.25710897e+01,5.01419783e+00
1.383333,1.25187635e+01,5.00375128e+00
1.387500,1.24666557e+01,4.99332666e+00
1.391667,1.24147654e+01,4.98292398e+00
1.395833,1.23630905e+01,4.97254276e+00
1.400000,1.23116302e+01,4.96218300e+00
1.404167,1.22603855e+01,4.95184517e+00
1.408333,1.22093534e+01,4.94152880e+00
1.412500,1.21585340e+01,4.93123388e+00
1.416667,1.21079254e+01,4.92096043e+00
1.420833,1.20575285e+01,4.91070843e+00
1.425000,1.20073414e+01,4.90047789e+00
1.429167,1.19573622e+01,4.89026833e+00
1.433333,1.19075918e+01,4.88008022e+00
1.437500,1.18580265e+01,4.86991310e+00
1.441667,1.18086700e+01,4.85976744e+00
1.445833,1.17595177e+01,4.84964275e+00
1.450000,1.17105694e+01,4.83953905e+00
1.454167,1.16618242e+01,4.82945633e+00
1.458333,1.16132841e+01,4.81939507e+00
1.462500,1.15649443e+01,4.80935431e+00
1.466667,1.15168056e+01,4.79933453e+00
1.470833,1.14688683e+01,4.78933573e+00
1.475000,1.14211311e+01,4.77935791e+00
1.479167,1.13735914e+01,4.76940060e+00
1.483333,1.13262501e+01,4.75946426e+00
1.487500,1.12791052e+01,4.74954844e+00
1.491667,1.12321577e+01,4.73965359e+00
1.495833,1.11854057e+01,4.72977924e+00
1.500000,1.11388483e+01,4.71992540e+00
1.504167,1.10924835e+01,4.71009207e+00
1.508333,1.10463123e+01,4.70027924e+00
1.512500,1.10003338e+01,4.69048691e+00
1.516667,1.09545469e+01,4.68071508e+00
1.520833,1.09089489e+01,4.67096329e+00
1.525000,1.08635416e+01,4.66123199e+00
1.529167,1.08183222e+01,4.65152073e+00
1.533333,1.07732925e+01,4.64182997e+00
1.537500,1.07284498e+01,4.63215923e+00
1.541667,1.06837950e+01,4.62250900e+00
1.545833,1.06393251e+01,4.61287880e+00
1.550000,1.05950413e+01,4.60326862e+00
1.554167,1.05509405e+01,4.59367847e+00
1.558333,1.05070248e+01,4.58410835e+00
1.562500,1.04632893e+01,4.57455778e+00
1.566667,1.04197369e+01,4.56502724e+00
1.570833,1.03763666e+01,4.55551672e+00
1.575000,1.03331747e+01,4.54602575e+00
1.579167,1.02901649e+01,4.53655481e+00
1.583333,1.02473326e+01,4.52710342e+00
1.587500,1.02046804e+01,4.51767206e+00
1.591667,1.01622057e+01,4.50826025e+00
1.595833,1.01199064e+01,4.49886799e+00
1.600000,1.00777836e+01,4.48949528e+00
1.604167,1.00358362e+01,4.48014212e+00
1.608333,9.99406433e+00,4.47080851e+00
1.612500,9.95246410e+00,4.46149397e+00
1.616667,9.91103745e+00,4.45219898e+00
1.620833,9.86978436e+00,4.44292355e+00
1.625000,9.82870197e+00,4.43366718e+00
1.629167,9.78779221e+00,4.42443037e+00
1.633333,9.74705124e+00,4.41521263e+00
1.637500,9.70647907e+00,4.40601397e+00
1.641667,9.66607857e+00,4.39683485e+00
1.645833,9.62584496e+00,4.38767481e+00
1.650000,9.58577919e+00,4.37853384e+00
1.654167,9.54588032e+00,4.36941195e+00
1.658333,9.50614548e+00,4.36030865e+00
1.662500,9.46657658e+00,4.35122442e+00
1.666667,9.42717361e+00,4.34215927e+00
1.670833,9.38793468e+00,4.33311319e+00
1.675000,9.34885883e+00,4.32408571e+00
1.679167,9.30994606e+00,4.31507730e+00
1.683333,9.27119446e+00,4.30608749e+00
1.687500,9.23260403e+00,4.29711628e+00
1.691667,9.19417381e+00,4.28816366e+00
1.695833,9.15590286e+00,4.27922964e+00
1.700000,9.11779404e+00,4.27031469e+00
1.704167,9.07984066e+00,4.26141787e+00
1.708333,9.04204655e+00,4.25253963e+00
1.712500,9.00440979e+00,4.24368000e+00
1.716667,8.96693039e+00,4.23483896e+00
1.720833,8.92960548e+00,4.22601604e+00
1.725000,8.89243698e+00,4.21721172e+00
1.729167,8.85542297e+00,4.20842552e+00
1.733333,8.81856346e+00,4.19965792e+00
1.737500,8.78185654e+00,4.19090843e+00
1.741667,8.74530220e+00,4.18217707e+00
1.745833,8.70890236e+00,4.17346430e+00
1.750000,8.67265320e+00,4.16476965e+00
1.754167,8.63655472e+00,4.15609312e+00
1.758333,8.60060692e+00,4.14743471e+00
1.762500,8.56480789e+00,4.13879395e+00
1.766667,8.52915764e+00,4.13017130e+00
1.770833,8.49365616e+00,4.12156677e+00
1.775000,8.45830154e+00,4.11297989e+00
1.779167,8.42309570e+00,4.10441113e+00
1.783333,8.38803482e+00,4.09586000e+00
1.787500,8.35312080e+00,4.08732700e+00
1.791667,8.31835175e+00,4.07881165e+00
1.795833,8.28372765e+00,4.07031393e+00
1.800000,8.24924755e+00,4.06183386e+00
1.804167,8.21490955e+00,4.05337143e+00
1.808333,8.18071556e+00,4.04492664e+00
1.812500,8.14666367e+00,4.03649950e+00
1.816667,8.11275482e+00,4.02809000e+00
1.820833,8.07898617e+00,4.01969814e+00
1.825000,8.04535770e+00,4.01132345e+00
1.829167,8.01187038e+00,4.00296640e+00
1.833333,7.97852135e+00,3.99462676e+00
1.837500,7.94531202e+00,3.98630452e+00
1.841667,7.91224098e+00,3.97799969e+00
1.845833,7.87930679e+00,3.96971202e+00
1.850000,7.84651041e+00,3.96144176e+00
1.854167,7.81385040e+00,3.95318866e+00
1.858333,7.78132582e+00,3.94495273e+00
1.862500,7.74893713e+00,3.93673396e+00
1.866667,7.71668339e+00,3.92853236e+00
1.870833,7.68456411e+00,3.92034793e+00
1.875000,7.65257788e+00,3.91218042e+00
1.879167,7.62072468e+00,3.90402985e+00
1.883333,7.58900452e+00,3.89589643e+00
1.887500,7.55741644e+00,3.88777995e+00
1.891667,7.52595997e+00,3.87968040e+00
1.895833,7.49463367e+00,3.87159753e+00
1.900000,7.46343803e+00,3.86353159e+00
1.904167,7.43237209e+00,3.85548234e+00
1.908333,7.40143585e+00,3.84745002e+00
1.912500,7.37062836e+00,3.83943439e+00
1.916667,7.33994865e+00,3.83143544e+00
1.920833,7.30939722e+00,3.82345319e+00
1.925000,7.27897310e+00,3.81548762e+00
1.929167,7.24867487e+00,3.80753851e+00
1.933333,7.21850300e+00,3.79960608e+00
1.937500,7.18845701e+00,3.79169011e+00
1.941667,7.15853548e+00,3.78379059e+00
1.945833,7.12873888e+00,3.77590752e+00
1.950000,7.09906626e+00,3.76804090e+00
1.954167,7.06951714e+00,3.76019073e+00
1.958333,7.04009151e+00,3.75235701e+00
1.962500,7.01078796e+00,3.74453950e+00
1.966667,6.98160601e+00,3.73673820e+00
1.970833,6.95254564e+00,3.72895312e+00
1.975000,6.92360592e+00,3.72118425e+00
1.979167,6.89478731e+00,3.71343160e+00
1.983333,6.86608839e+00,3.70569515e+00
1.987500,6.83750916e+00,3.69797492e+00
1.991667,6.80904865e+00,3.69027066e+00
1.995833,6.78070641e+00,3.68258238e+00
2.000000,6.75248289e+00,3.67491031e+00
2.004167,6.72437668e+00,3.66725421e+00
2.008333,6.69638777e+00,3.65961409e+00
2.012500,6.66851425e+00,3.65198970e+00
2.016667,6.64075756e+00,3.64438128e+00
2.020833,6.61311579e+00,3.63678861e+00
2.025000,6.58558941e+00,3.62921190e+00
2.029167,6.55817795e+00,3.62165093e+00
