t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.729167,2.86717117e-01,-2.23522872e-01,-2.23522872e-01,0.00000000e+00,-2.23522872e-01,2.49812379e-02,32
0.733333,2.85783112e-01,-2.24163756e-01,-2.24163756e-01,0.00000000e+00,-2.24163756e-01,2.51246952e-02,32
0.737500,2.84846902e-01,-2.24689275e-01,-2.24689275e-01,0.00000000e+00,-2.24689275e-01,2.52426360e-02,32
0.741667,2.83908904e-01,-2.25120202e-01,-2.25120202e-01,0.00000000e+00,-2.25120202e-01,2.53395531e-02,32
0.745833,2.82969445e-01,-2.25473553e-01,-2.25473553e-01,0.00000000e+00,-2.25473553e-01,2.54191607e-02,32
0.750000,2.82028764e-01,-2.25763321e-01,-2.25763321e-01,0.00000000e+00,-2.25763321e-01,2.54845377e-02,32
0.754167,2.81087101e-01,-2.26000920e-01,-2.26000920e-01,0.00000000e+00,-2.26000920e-01,2.55382080e-02,32
0.758333,2.80144632e-01,-2.26195753e-01,-2.26195753e-01,0.00000000e+00,-2.26195753e-01,2.55822595e-02,32
0.762500,2.79201478e-01,-2.26355538e-01,-2.26355538e-01,0.00000000e+00,-2.26355538e-01,2.56184153e-02,32
0.766667,2.78257787e-01,-2.26486549e-01,-2.26486549e-01,0.00000000e+00,-2.26486549e-01,2.56480779e-02,32
0.770833,2.77313650e-01,-2.26593971e-01,-2.26593971e-01,0.00000000e+00,-2.26593971e-01,2.56724134e-02,32
0.775000,2.76369154e-01,-2.26682067e-01,-2.26682067e-01,0.00000000e+00,-2.26682067e-01,2.56923791e-02,32
0.779167,2.75424331e-01,-2.26754293e-01,-2.26754293e-01,0.00000000e+00,-2.26754293e-01,2.57087555e-02,32
0.783333,2.74479270e-01,-2.26813510e-01,-2.26813510e-01,0.00000000e+00,-2.26813510e-01,2.57221833e-02,32
0.787500,2.73534000e-01,-2.26862088e-01,-2.26862088e-01,0.00000000e+00,-2.26862088e-01,2.57332027e-02,32
0.791667,2.72588581e-01,-2.26901904e-01,-2.26901904e-01,0.00000000e+00,-2.26901904e-01,2.57422365e-02,32
0.795833,2.71643013e-01,-2.26934567e-01,-2.26934567e-01,0.00000000e+00,-2.26934567e-01,2.57496480e-02,32
0.800000,2.70697355e-01,-2.26961344e-01,-2.26961344e-01,0.00000000e+00,-2.26961344e-01,2.57557258e-02,32
0.804167,2.69751579e-01,-2.26983309e-01,-2.26983309e-01,0.00000000e+00,-2.26983309e-01,2.57607121e-02,32
0.808333,2.68805742e-01,-2.27001324e-01,-2.27001324e-01,0.00000000e+00,-2.27001324e-01,2.57648006e-02,32
0.812500,2.67859846e-01,-2.27016076e-01,-2.27016076e-01,0.00000000e+00,-2.27016076e-01,2.57681496e-02,32
0.816667,2.66913891e-01,-2.27028191e-01,-2.27028191e-01,0.00000000e+00,-2.27028191e-01,2.57708989e-02,32
0.820833,2.65967906e-01,-2.27038115e-01,-2.27038115e-01,0.00000000e+00,-2.27038115e-01,2.57731527e-02,32
0.825000,2.65021890e-01,-2.27046266e-01,-2.27046266e-01,0.00000000e+00,-2.27046266e-01,2.57750042e-02,32
0.829167,2.64075845e-01,-2.27052942e-01,-2.27052942e-01,0.00000000e+00,-2.27052942e-01,2.57765185e-02,32
0.833333,2.63129771e-01,-2.27058411e-01,-2.27058411e-01,0.00000000e+00,-2.27058411e-01,2.57777609e-02,32
0.837500,2.62183666e-01,-2.27062896e-01,-2.27062896e-01,0.00000000e+00,-2.27062896e-01,2.57787798e-02,32
0.841667,2.61237562e-01,-2.27066591e-01,-2.27066591e-01,0.00000000e+00,-2.27066591e-01,2.57796180e-02,32
0.845833,2.60291427e-01,-2.27069601e-01,-2.27069601e-01,0.00000000e+00,-2.27069601e-01,2.57803015e-02,32
0.850000,2.59345293e-01,-2.27072075e-01,-2.27072075e-01,0.00000000e+00,-2.27072075e-01,2.57808641e-02,32
0.854167,2.58399159e-01,-2.27074087e-01,-2.27074087e-01,0.00000000e+00,-2.27074087e-01,2.57813204e-02,32
0.858333,2.57453024e-01,-2.27075756e-01,-2.27075756e-01,0.00000000e+00,-2.27075756e-01,2.57816985e-02,32
0.862500,2.56506860e-01,-2.27077127e-01,-2.27077127e-01,0.00000000e+00,-2.27077127e-01,2.57820114e-02,32
0.866667,2.55560696e-01,-2.27078259e-01,-2.27078259e-01,0.00000000e+00,-2.27078259e-01,2.57822685e-02,32
0.870833,2.54614532e-01,-2.27079168e-01,-2.27079168e-01,0.00000000e+00,-2.27079168e-01,2.57824734e-02,32
0.875000,2.53668368e-01,-2.27079913e-01,-2.27079913e-01,0.00000000e+00,-2.27079913e-01,2.57826429e-02,32
0.879167,2.52722204e-01,-2.27080524e-01,-2.27080524e-01,0.00000000e+00,-2.27080524e-01,2.57827826e-02,32
0.883333,2.51776040e-01,-2.27081031e-01,-2.27081031e-01,0.00000000e+00,-2.27081031e-01,2.57828981e-02,32
0.887500,2.50829875e-01,-2.27081448e-01,-2.27081448e-01,0.00000000e+00,-2.27081448e-01,2.57829912e-02,32
0.891667,2.49883696e-01,-2.27081791e-01,-2.27081791e-01,0.00000000e+00,-2.27081791e-01,2.57830694e-02,32
0.895833,2.49088913e-01,-1.90748975e-01,-1.90748975e-01,0.00000000e+00,-1.90748975e-01,1.81925856e-02,48
