t,y1,y2,y3,y1_drift,y2_drift,y3_drift
0.754167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.758333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.762500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.766667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.770833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.775000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.779167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.783333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.787500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.791667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.795833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.800000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.804167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.808333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.812500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.816667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.820833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.825000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.829167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.833333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.837500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.841667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.845833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.850000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.854167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.858333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.862500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.866667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.870833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.875000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.879167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.883333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.887500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.891667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.895833,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.900000,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.904167,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.908333,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.912500,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
0.916667,4.94148374e-01,1.49414742e+00,2.49398088e+00,-5.85162640e-03,-5.85258007e-03,-6.01911545e-03
